Sept. 7, 2022   15:39:14
Linear Sweep Voltammetry
File: f:\2-Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 0.8
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1
Comp R (ohm) = 1.2


Potential/V, Current/A

0.683, 8.013e-3
0.684, 8.358e-3
0.685, 8.701e-3
0.686, 9.047e-3
0.687, 9.409e-3
0.688, 9.786e-3
0.689, 1.017e-2
0.690, 1.055e-2
0.691, 1.096e-2
0.692, 1.137e-2
0.693, 1.178e-2
0.694, 1.220e-2
0.695, 1.262e-2
0.696, 1.303e-2
0.697, 1.345e-2
0.698, 1.388e-2
0.699, 1.433e-2
0.700, 1.480e-2
0.701, 1.526e-2
0.702, 1.571e-2
0.703, 1.620e-2
0.704, 1.667e-2
0.705, 1.716e-2
0.706, 1.767e-2
0.707, 1.817e-2
0.708, 1.868e-2
0.709, 1.919e-2
0.710, 1.969e-2
0.711, 2.019e-2
0.712, 2.075e-2
0.713, 2.130e-2
0.714, 2.184e-2
0.715, 2.241e-2
0.716, 2.298e-2
0.717, 2.354e-2
0.718, 2.410e-2
0.719, 2.470e-2
0.720, 2.529e-2
0.721, 2.590e-2
0.722, 2.648e-2
0.723, 2.705e-2
0.724, 2.771e-2
0.725, 2.837e-2
0.726, 2.903e-2
0.727, 2.968e-2
0.728, 3.021e-2
0.729, 3.086e-2
0.730, 3.154e-2
0.731, 3.223e-2
0.732, 3.293e-2
0.733, 3.364e-2
0.734, 3.429e-2
0.735, 3.492e-2
0.736, 3.560e-2
0.737, 3.641e-2
0.738, 3.716e-2
0.739, 3.788e-2
0.740, 3.862e-2
0.741, 3.940e-2
0.742, 4.015e-2
0.743, 4.088e-2
0.744, 4.164e-2
0.745, 4.243e-2
0.746, 4.323e-2
0.747, 4.402e-2
0.748, 4.478e-2
0.749, 4.559e-2
0.750, 4.637e-2
0.751, 4.705e-2
0.752, 4.775e-2
0.753, 4.853e-2
0.754, 4.936e-2
0.755, 5.016e-2
0.756, 5.100e-2
0.757, 5.188e-2
0.758, 5.275e-2
0.759, 5.374e-2
0.760, 5.538e-2
0.761, 5.617e-2
0.762, 5.663e-2
0.763, 5.736e-2
0.764, 5.817e-2
0.765, 5.901e-2
0.766, 5.992e-2
0.767, 6.081e-2
0.768, 6.173e-2
0.769, 6.246e-2
0.770, 6.306e-2
0.771, 6.388e-2
0.772, 6.478e-2
0.773, 6.568e-2
0.774, 6.659e-2
0.775, 6.745e-2
0.776, 6.829e-2
